opponent_bot,round,cumulative_ks,is_adapting_now
Ali 0.4.9,1,0.05357468506892364,0
Ali 0.4.9,2,0.049534551780640486,0
Ali 0.4.9,3,0.04709675701984696,0
Ali 0.4.9,4,0.05185916606055739,0
Ali 0.4.9,5,0.05181920850666329,0
Ali 0.4.9,6,0.05160960201442627,0
Ali 0.4.9,7,0.04694881547731637,0
Ali 0.4.9,8,0.04833392529482021,0
Ali 0.4.9,9,0.04832998099440644,0
Ali 0.4.9,10,0.04978300305403116,0
Ali 0.4.9,11,0.04859187526298514,0
Ali 0.4.9,12,0.047035996851808926,0
Ali 0.4.9,13,0.04771927144907795,0
Ali 0.4.9,14,0.05187761701801319,0
Ali 0.4.9,15,0.051593165433447385,0
Ali 0.4.9,16,0.049965355417584845,0
Ali 0.4.9,17,0.051275869032878396,0
Ali 0.4.9,18,0.05097030502589728,0
Ali 0.4.9,19,0.04967835902415341,0
Ali 0.4.9,20,0.04995629125235035,0
Ali 0.4.9,21,0.04779756008846092,0
Ali 0.4.9,22,0.047711055495851196,0
Ali 0.4.9,23,0.046808022963672036,0
Ali 0.4.9,24,0.04647618339917692,0
Ali 0.4.9,25,0.045977584361448165,0
Ali 0.4.9,26,0.046689489877236645,0
Ali 0.4.9,27,0.0467608299346115,0
Ali 0.4.9,28,0.04645940620651401,0
Ali 0.4.9,29,0.0467495701231635,0
Ali 0.4.9,30,0.04661882194188416,0
Ali 0.4.9,31,0.04828052156470164,0
Ali 0.4.9,32,0.048006233578097635,0
Ali 0.4.9,33,0.04932327475931775,0
Ali 0.4.9,34,0.04867139224172412,0
Ascendant 1.2.27,1,0.09993081995769566,0
Ascendant 1.2.27,2,0.08521961125616478,0
Ascendant 1.2.27,3,0.09120027864855451,0
Ascendant 1.2.27,4,0.10053446619127092,1
Ascendant 1.2.27,5,0.1006173676800127,1
Ascendant 1.2.27,6,0.10673961087383906,1
Ascendant 1.2.27,7,0.10449826388888889,1
Ascendant 1.2.27,8,0.1009942726231386,1
Ascendant 1.2.27,9,0.09756989173554664,0
Ascendant 1.2.27,10,0.0920541705140043,0
Ascendant 1.2.27,11,0.0902171823230202,0
